
====================================
TOP3 OFFICIAL BACKTEST
====================================

Loteria............: PT_RIO
Limite.............: TODOS
Hist├│rico m├¡nimo...: 100
Per├¡odo............: in├¡cio at├® fim
Telemetria.........: DESATIVADA

[BACKTEST] 2650/7432 | avaliados=2650 | erros=0
[BACKTEST] 2675/7432 | avaliados=2675 | erros=0
[BACKTEST] 2700/7432 | avaliados=2700 | erros=0
[BACKTEST] 2725/7432 | avaliados=2725 | erros=0
[BACKTEST] 2750/7432 | avaliados=2750 | erros=0
[BACKTEST] 2775/7432 | avaliados=2775 | erros=0
[BACKTEST] 2800/7432 | avaliados=2800 | erros=0
[BACKTEST] 2825/7432 | avaliados=2825 | erros=0
[BACKTEST] 2850/7432 | avaliados=2850 | erros=0
[BACKTEST] 2875/7432 | avaliados=2875 | erros=0
[BACKTEST] 2900/7432 | avaliados=2900 | erros=0
[BACKTEST] 2925/7432 | avaliados=2925 | erros=0
[BACKTEST] 2950/7432 | avaliados=2950 | erros=0
[BACKTEST] 2975/7432 | avaliados=2975 | erros=0
[BACKTEST] 3000/7432 | avaliados=3000 | erros=0
[BACKTEST] 3025/7432 | avaliados=3025 | erros=0
[BACKTEST] 3050/7432 | avaliados=3050 | erros=0
[BACKTEST] 3075/7432 | avaliados=3075 | erros=0
[BACKTEST] 3100/7432 | avaliados=3100 | erros=0
[BACKTEST] 3125/7432 | avaliados=3125 | erros=0
[BACKTEST] 3150/7432 | avaliados=3150 | erros=0
[BACKTEST] 3175/7432 | avaliados=3175 | erros=0
[BACKTEST] 3200/7432 | avaliados=3200 | erros=0
[BACKTEST] 3225/7432 | avaliados=3225 | erros=0
[BACKTEST] 3250/7432 | avaliados=3250 | erros=0
[BACKTEST] 3275/7432 | avaliados=3275 | erros=0
[BACKTEST] 3300/7432 | avaliados=3300 | erros=0
[BACKTEST] 3325/7432 | avaliados=3325 | erros=0
[BACKTEST] 3350/7432 | avaliados=3350 | erros=0
[BACKTEST] 3375/7432 | avaliados=3375 | erros=0
[BACKTEST] 3400/7432 | avaliados=3400 | erros=0
[BACKTEST] 3425/7432 | avaliados=3425 | erros=0
[BACKTEST] 3450/7432 | avaliados=3450 | erros=0
[BACKTEST] 3475/7432 | avaliados=3475 | erros=0
[BACKTEST] 3500/7432 | avaliados=3500 | erros=0
[BACKTEST] 3525/7432 | avaliados=3525 | erros=0
[BACKTEST] 3550/7432 | avaliados=3550 | erros=0
[BACKTEST] 3575/7432 | avaliados=3575 | erros=0
[BACKTEST] 3600/7432 | avaliados=3600 | erros=0
[BACKTEST] 3625/7432 | avaliados=3625 | erros=0
[BACKTEST] 3650/7432 | avaliados=3650 | erros=0
[BACKTEST] 3675/7432 | avaliados=3675 | erros=0
[BACKTEST] 3700/7432 | avaliados=3700 | erros=0
[BACKTEST] 3725/7432 | avaliados=3725 | erros=0
[BACKTEST] 3750/7432 | avaliados=3750 | erros=0
[BACKTEST] 3775/7432 | avaliados=3775 | erros=0
[BACKTEST] 3800/7432 | avaliados=3800 | erros=0
[BACKTEST] 3825/7432 | avaliados=3825 | erros=0
[BACKTEST] 3850/7432 | avaliados=3850 | erros=0
[BACKTEST] 3875/7432 | avaliados=3875 | erros=0
[BACKTEST] 3900/7432 | avaliados=3900 | erros=0
[BACKTEST] 3925/7432 | avaliados=3925 | erros=0
[BACKTEST] 3950/7432 | avaliados=3950 | erros=0
[BACKTEST] 3975/7432 | avaliados=3975 | erros=0
[BACKTEST] 4000/7432 | avaliados=4000 | erros=0
[BACKTEST] 4025/7432 | avaliados=4025 | erros=0
[BACKTEST] 4050/7432 | avaliados=4050 | erros=0
[BACKTEST] 4075/7432 | avaliados=4075 | erros=0
[BACKTEST] 4100/7432 | avaliados=4100 | erros=0
[BACKTEST] 4125/7432 | avaliados=4125 | erros=0
[BACKTEST] 4150/7432 | avaliados=4150 | erros=0
[BACKTEST] 4175/7432 | avaliados=4175 | erros=0
[BACKTEST] 4200/7432 | avaliados=4200 | erros=0
[BACKTEST] 4225/7432 | avaliados=4225 | erros=0
[BACKTEST] 4250/7432 | avaliados=4250 | erros=0
[BACKTEST] 4275/7432 | avaliados=4275 | erros=0
[BACKTEST] 4300/7432 | avaliados=4300 | erros=0
[BACKTEST] 4325/7432 | avaliados=4325 | erros=0
[BACKTEST] 4350/7432 | avaliados=4350 | erros=0
[BACKTEST] 4375/7432 | avaliados=4375 | erros=0
[BACKTEST] 4400/7432 | avaliados=4400 | erros=0
[BACKTEST] 4425/7432 | avaliados=4425 | erros=0
[BACKTEST] 4450/7432 | avaliados=4450 | erros=0
[BACKTEST] 4475/7432 | avaliados=4475 | erros=0
[BACKTEST] 4500/7432 | avaliados=4500 | erros=0
[BACKTEST] 4525/7432 | avaliados=4525 | erros=0
[BACKTEST] 4550/7432 | avaliados=4550 | erros=0
[BACKTEST] 4575/7432 | avaliados=4575 | erros=0
[BACKTEST] 4600/7432 | avaliados=4600 | erros=0
[BACKTEST] 4625/7432 | avaliados=4625 | erros=0
[BACKTEST] 4650/7432 | avaliados=4650 | erros=0
[BACKTEST] 4675/7432 | avaliados=4675 | erros=0
[BACKTEST] 4700/7432 | avaliados=4700 | erros=0
[BACKTEST] 4725/7432 | avaliados=4725 | erros=0
[BACKTEST] 4750/7432 | avaliados=4750 | erros=0
[BACKTEST] 4775/7432 | avaliados=4775 | erros=0
[BACKTEST] 4800/7432 | avaliados=4800 | erros=0
[BACKTEST] 4825/7432 | avaliados=4825 | erros=0
[BACKTEST] 4850/7432 | avaliados=4850 | erros=0
[BACKTEST] 4875/7432 | avaliados=4875 | erros=0
[BACKTEST] 4900/7432 | avaliados=4900 | erros=0
[BACKTEST] 4925/7432 | avaliados=4925 | erros=0
[BACKTEST] 4950/7432 | avaliados=4950 | erros=0
[BACKTEST] 4975/7432 | avaliados=4975 | erros=0
[BACKTEST] 5000/7432 | avaliados=5000 | erros=0
[BACKTEST] 5025/7432 | avaliados=5025 | erros=0
[BACKTEST] 5050/7432 | avaliados=5050 | erros=0
[BACKTEST] 5075/7432 | avaliados=5075 | erros=0
[BACKTEST] 5100/7432 | avaliados=5100 | erros=0
[BACKTEST] 5125/7432 | avaliados=5125 | erros=0
[BACKTEST] 5150/7432 | avaliados=5150 | erros=0
[BACKTEST] 5175/7432 | avaliados=5175 | erros=0
[BACKTEST] 5200/7432 | avaliados=5200 | erros=0
[BACKTEST] 5225/7432 | avaliados=5225 | erros=0
[BACKTEST] 5250/7432 | avaliados=5250 | erros=0
[BACKTEST] 5275/7432 | avaliados=5275 | erros=0
[BACKTEST] 5300/7432 | avaliados=5300 | erros=0
[BACKTEST] 5325/7432 | avaliados=5325 | erros=0
[BACKTEST] 5350/7432 | avaliados=5350 | erros=0
[BACKTEST] 5375/7432 | avaliados=5375 | erros=0
[BACKTEST] 5400/7432 | avaliados=5400 | erros=0
[BACKTEST] 5425/7432 | avaliados=5425 | erros=0
[BACKTEST] 5450/7432 | avaliados=5450 | erros=0
[BACKTEST] 5475/7432 | avaliados=5475 | erros=0
[BACKTEST] 5500/7432 | avaliados=5500 | erros=0
[BACKTEST] 5525/7432 | avaliados=5525 | erros=0
[BACKTEST] 5550/7432 | avaliados=5550 | erros=0
[BACKTEST] 5575/7432 | avaliados=5575 | erros=0
[BACKTEST] 5600/7432 | avaliados=5600 | erros=0
[BACKTEST] 5625/7432 | avaliados=5625 | erros=0
[BACKTEST] 5650/7432 | avaliados=5650 | erros=0
[BACKTEST] 5675/7432 | avaliados=5675 | erros=0
[BACKTEST] 5700/7432 | avaliados=5700 | erros=0
[BACKTEST] 5725/7432 | avaliados=5725 | erros=0
[BACKTEST] 5750/7432 | avaliados=5750 | erros=0
